arc_length,Mach_Magnitude,p
0.00000000,0.33370831,22229.90820312
0.00110000,0.33370831,22033.60351562
0.00220000,0.33370831,21837.29882812
0.00330001,0.57737118,21783.73242188
0.00440001,0.57850530,21829.49414062
0.00549999,0.57850530,21868.38085938
0.00660000,0.56701009,21926.38476562
0.00770000,0.56701009,21996.12500000
0.00880000,0.59094009,22076.15820312
0.00990000,0.58061630,22188.93945312
0.01100000,0.58061630,22306.50781250
0.01210000,0.56741366,22411.72070312
0.01320000,0.57138745,22507.94140625
0.01429999,0.56499156,22595.11523438
0.01539999,0.56499156,22684.90039062
0.01650000,0.55712093,22788.39257812
0.01760000,0.56380114,22899.33398438
0.01870000,0.56380114,22956.24804688
0.01980000,0.55797405,22992.95703125
0.02090000,0.55635533,23074.36328125
0.02200000,0.56042512,23193.91601562
0.02310001,0.55893446,23319.54101562
0.02420001,0.55731730,23400.25390625
0.02530001,0.55731730,23460.24023438
0.02640001,0.55731730,23520.22460938
0.02750001,0.56285236,23602.45312500
0.02859999,0.56285236,23697.29492188
0.02969999,0.56285236,23792.13671875
0.03079999,0.55067038,23863.87304688
0.03189999,0.55067038,23901.22851562
0.03299999,0.55379095,23939.23242188
0.03409999,0.55867183,23990.57031250
0.03520000,0.54575201,24123.71875000
0.03630000,0.54575201,24259.27929688
0.03740000,0.55040076,24366.39257812
0.03850000,0.54790498,24436.15820312
0.03960000,0.54790498,24508.33984375
0.04070000,0.54790498,24580.51953125
0.04180000,0.54045113,24642.88671875
0.04290000,0.54304617,24721.03906250
0.04400001,0.54304617,24792.66796875
0.04510001,0.54467504,24866.17578125
0.04619998,0.52425926,24944.93359375
0.04729998,0.52425926,25027.36523438
0.04839998,0.52425926,25109.79687500
0.04949998,0.51426942,25238.39062500
0.05059999,0.51426942,25383.77929688
0.05169999,0.48625560,25506.66992188
0.05279999,0.27173565,25578.31445312
0.05389999,0.27173565,25712.63281250
0.05500000,nan,nan
