arc_length,Mach_Magnitude,p
0.00000000,0.11524521,41755.58203125
0.00110000,0.19148120,41761.12500000
0.00220001,0.19148120,41773.86328125
0.00330000,0.19877520,41794.62109375
0.00440000,0.19877520,41816.44140625
0.00550001,0.19044784,41827.22656250
0.00660000,0.19044784,41826.91015625
0.00770000,0.17861549,41829.61328125
0.00880001,0.17861549,41833.32031250
0.00990000,0.17861549,41837.02734375
0.01100000,0.17887212,41836.14062500
0.01210001,0.17887212,41832.52734375
0.01320000,0.17864896,41836.33593750
0.01430000,0.17864896,41840.22656250
0.01540000,0.17768038,41841.11718750
0.01649999,0.17693512,41837.37109375
0.01760001,0.17693512,41832.83984375
0.01870001,0.17693512,41828.31250000
0.01980001,0.17682823,41825.46484375
0.02090000,0.17682823,41823.74218750
0.02200000,0.17696805,41820.65625000
0.02309999,0.17733604,41818.05078125
0.02420002,0.17733604,41816.40234375
0.02530001,0.17766267,41814.67968750
0.02640001,0.17766267,41811.37890625
0.02750000,0.17756939,41808.12109375
0.02860000,0.17756939,41805.08593750
0.02970000,0.17803560,41802.38671875
0.03079999,0.17805870,41798.85546875
0.03190001,0.17805870,41794.26562500
0.03300001,0.17865165,41790.92578125
0.03410001,0.17927744,41787.30468750
0.03520000,0.17917742,41783.37109375
0.03630000,0.17917742,41780.85546875
0.03739999,0.17929981,41777.14062500
0.03850002,0.17929981,41772.42578125
0.03960001,0.18029716,41767.42187500
0.04070001,0.18083754,41762.37890625
0.04180000,0.18083754,41759.93359375
0.04290000,0.18083754,41757.48828125
0.04400000,0.18677541,41754.01562500
0.04510002,0.18677541,41748.80468750
0.04620001,0.18811582,41745.00390625
0.04730001,0.18465362,41740.16015625
0.04840001,0.18465362,41735.73437500
0.04950000,0.18181233,41722.94140625
0.05060000,0.18181233,41705.89453125
0.05170002,0.18181233,41688.85156250
0.05280002,0.18181233,41671.80468750
0.05390001,0.12049407,41662.72656250
0.05500001,nan,nan
