arc_length,Mach_Magnitude,p
0.00000000,0.15581004,41822.47265625
0.00110000,0.11534868,41805.81250000
0.00220001,0.11534868,41785.71484375
0.00329999,0.17050001,41767.12500000
0.00440000,0.17782307,41772.91015625
0.00550000,0.17947059,41774.56250000
0.00660000,0.18569268,41776.96484375
0.00770001,0.18569268,41781.10156250
0.00880001,0.18376546,41785.96093750
0.00990001,0.18088036,41791.80468750
0.01100001,0.17946796,41791.35156250
0.01210002,0.17845788,41788.19140625
0.01319999,0.17845788,41784.84375000
0.01429999,0.17845788,41781.49218750
0.01540000,0.17845788,41778.14062500
0.01650000,0.17845788,41774.78906250
0.01760000,0.17935721,41771.33203125
0.01870001,0.17935721,41768.25781250
0.01980001,0.17935721,41765.17968750
0.02090001,0.17935721,41762.10546875
0.02200001,0.17927529,41758.91406250
0.02310002,0.17976895,41754.66406250
0.02420002,0.17976895,41746.54687500
0.02529999,0.18015801,41739.63281250
0.02640000,0.18135982,41733.58593750
0.02750000,0.18135982,41727.12109375
0.02860000,0.18135982,41720.65625000
0.02970000,0.18163607,41715.35156250
0.03080001,0.18163607,41710.75781250
0.03190001,0.18281674,41705.27343750
0.03300001,0.18229725,41698.02343750
0.03410001,0.18229725,41690.34375000
0.03520002,0.18229725,41682.66406250
0.03630002,0.18316022,41675.01562500
0.03740000,0.18316022,41667.44921875
0.03850000,0.18357698,41660.95312500
0.03960000,0.18348736,41655.15234375
0.04070000,0.18348736,41649.36328125
0.04180001,0.18348736,41643.57421875
0.04290001,0.19038315,41634.79296875
0.04400001,0.19038315,41625.61718750
0.04510001,0.18915282,41615.17968750
0.04620002,0.18800881,41607.86328125
0.04730002,0.18800881,41603.62500000
0.04840002,0.18800881,41599.39062500
0.04950000,0.18186488,41590.86718750
0.05060000,0.18377465,41566.83203125
0.05170000,0.18377465,41544.52343750
0.05280001,0.13602712,41523.06250000
0.05390001,0.17065488,41521.64062500
0.05500001,nan,nan
