arc_length,Mach_Magnitude,p
0.00000000,0.35649262,19970.98437500
0.00110000,0.35649262,20110.74609375
0.00220000,0.35649262,20250.50195312
0.00330000,0.57914216,20422.85351562
0.00440000,0.55377630,20508.82226562
0.00550001,0.53122997,20620.00585938
0.00660000,0.53122997,20731.20898438
0.00770000,0.54112227,20837.94140625
0.00880000,0.54112227,20942.88476562
0.00990000,0.57211849,21056.07812500
0.01100000,0.55752306,21231.84765625
0.01210000,0.54720182,21364.87695312
0.01320001,0.54720182,21488.90820312
0.01430000,0.54720182,21612.93554688
0.01540000,0.54720182,21736.96679688
0.01650000,0.54959722,21864.30664062
0.01760001,0.54959722,21978.26953125
0.01870000,0.54959722,22092.22851562
0.01980000,0.54208208,22228.21679688
0.02090001,0.54609915,22345.21679688
0.02200000,0.54609915,22465.96679688
0.02310000,0.54609915,22586.71875000
0.02420001,0.53314347,22701.49804688
0.02530001,0.51167663,22843.17382812
0.02640000,0.53051431,22960.17578125
0.02750001,0.53051431,23086.26953125
0.02860001,0.51768776,23189.79882812
0.02970000,0.51768776,23279.89062500
0.03080000,0.54762086,23379.90625000
0.03189999,0.52743347,23492.29296875
0.03300001,0.52743347,23572.99414062
0.03410000,0.52743347,23653.69140625
0.03520002,0.54823959,23738.72851562
0.03630001,0.55065403,23843.88671875
0.03740000,0.54540443,23942.02148438
0.03850002,0.51722932,24049.68359375
0.03960001,0.52870824,24160.82031250
0.04070000,0.53028542,24253.41992188
0.04180001,0.53028542,24355.53710938
0.04290001,0.53028542,24457.65039062
0.04400000,0.53712614,24552.66015625
0.04510001,0.53712614,24616.63476562
0.04620001,0.53712614,24680.60742188
0.04730000,0.52820850,24751.20898438
0.04840001,0.51502451,24832.00585938
0.04950001,0.51502451,24925.83007812
0.05060002,0.51502451,25019.66015625
0.05170001,0.51121485,25147.11718750
0.05280000,0.51121485,25311.94335938
0.05390002,0.51121485,25476.77539062
0.05500001,nan,nan
