arc_length,Mach_Magnitude,p
0.00000000,0.34299051,21633.08007812
0.00110000,0.50509786,21869.76171875
0.00220000,0.57156994,22100.62695312
0.00330000,0.56377074,22324.05468750
0.00440000,0.56377074,22439.12304688
0.00549999,0.56066725,22556.92773438
0.00660000,0.52391567,22639.38867188
0.00770000,0.52172587,22759.05273438
0.00879999,0.53990333,22881.30078125
0.00990000,0.53990333,23004.86523438
0.01100000,0.55988780,23132.38085938
0.01209999,0.54386725,23261.70507812
0.01320000,0.54386725,23391.60546875
0.01430000,0.54132407,23511.77343750
0.01540000,0.54132407,23621.34960938
0.01649999,0.54132407,23730.92578125
0.01759999,0.51476753,23844.17968750
0.01870000,0.53734543,23969.59765625
0.01979999,0.53734543,24097.19140625
0.02089998,0.55136463,24224.12890625
0.02200000,0.49852671,24311.84570312
0.02309999,0.53825430,24396.10742188
0.02419998,0.53825430,24461.67578125
0.02530000,0.52731203,24536.28710938
0.02639999,0.52731203,24637.45703125
0.02750001,0.55238845,24743.22265625
0.02860000,0.56672535,24841.32421875
0.02969999,0.52882253,24963.48632812
0.03080001,0.52882253,25102.50781250
0.03190000,0.52882253,25241.52539062
0.03299999,0.54062039,25378.31054688
0.03410001,0.54062039,25445.17968750
0.03520000,0.51908189,25513.90039062
0.03629999,0.53385496,25582.96484375
0.03740001,0.51933959,25677.50976562
0.03850000,0.53105055,25764.05664062
0.03959999,0.53105055,25852.59179688
0.04070001,0.51421215,25944.93945312
0.04180000,0.51421215,26036.37890625
0.04289998,0.51421215,26127.81835938
0.04400000,0.54176528,26217.20117188
0.04510000,0.51785890,26303.38281250
0.04619998,0.51785890,26386.70117188
0.04730000,0.51785890,26470.02343750
0.04840000,0.52072700,26517.05468750
0.04949998,0.52072700,26545.78515625
0.05060000,0.51732065,26579.04687500
0.05169999,0.51457908,26618.31054688
0.05279998,0.29017882,26690.20703125
0.05390000,0.29017882,26744.96679688
0.05499999,nan,nan
