arc_length,Mach_Magnitude,p
0.00000000,0.36235823,23965.94335938
0.00110000,0.36235823,23999.89257812
0.00220000,0.53719985,24056.40820312
0.00330000,0.55173709,24107.21875000
0.00439999,0.55173709,24150.72070312
0.00549999,0.54540688,24274.09375000
0.00660001,0.54288573,24422.26757812
0.00770001,0.52880584,24536.41796875
0.00880000,0.53710808,24636.97656250
0.00990000,0.53993918,24743.98632812
0.01100000,0.53686809,24870.54882812
0.01210000,0.54070313,24961.14062500
0.01320000,0.53919655,25064.82421875
0.01430000,0.53110887,25157.70703125
0.01540000,0.52886209,25287.51562500
0.01650001,0.52389824,25420.33398438
0.01760001,0.52031019,25491.25000000
0.01870001,0.51846513,25560.08593750
0.01980000,0.51846513,25659.59375000
0.02090000,0.50401996,25749.36132812
0.02200000,0.50401996,25823.24218750
0.02310000,0.50144028,25900.65429688
0.02420001,0.50144028,25988.10937500
0.02530000,0.50452297,26065.66992188
0.02640001,0.50452297,26169.02148438
0.02750000,0.50874702,26255.15039062
0.02860001,0.50264119,26329.10546875
0.02969999,0.50264119,26405.61132812
0.03080001,0.49394741,26488.10351562
0.03189999,0.49394741,26571.40625000
0.03300000,0.49370182,26656.02929688
0.03410001,0.49507697,26712.56835938
0.03520000,0.49650578,26779.83007812
0.03630001,0.49830567,26848.87109375
0.03740000,0.49163877,26915.28125000
0.03850001,0.48966804,26979.26757812
0.03960000,0.49119541,27075.35937500
0.04070001,0.49617992,27159.05078125
0.04179999,0.49701600,27208.68164062
0.04290001,0.50290275,27258.32226562
0.04400002,0.51212319,27317.43945312
0.04510000,0.51789033,27374.50585938
0.04620001,0.51798410,27441.77539062
0.04730000,0.51798410,27489.96289062
0.04840001,0.50732591,27574.46484375
0.04950000,0.50023197,27670.89843750
0.05060001,0.44160854,27754.30273438
0.05169999,0.43709824,27849.05078125
0.05280001,0.35082054,27918.89257812
0.05389999,0.35082054,27899.54296875
0.05500000,0.18708537,27880.15625000
