arc_length,Mach_Magnitude,p
0.00000000,0.34481455,21885.76171875
0.00110001,0.34481455,21949.20898438
0.00219999,0.57988773,22048.87890625
0.00330000,0.59802540,22199.16015625
0.00440000,0.59989828,22395.25781250
0.00549999,0.59214890,22544.10351562
0.00660000,0.60000871,22659.33398438
0.00770000,0.61076807,22791.75976562
0.00879999,0.60981129,22878.78320312
0.00990000,0.60024307,23000.09765625
0.01100000,0.60024307,23118.01953125
0.01209999,0.59399333,23225.51953125
0.01319999,0.59277755,23366.43554688
0.01430000,0.58994869,23498.03125000
0.01540000,0.58752927,23582.15039062
0.01649999,0.58275759,23681.05859375
0.01760000,0.58062874,23796.94921875
0.01870000,0.58442249,23924.22656250
0.01979999,0.58162986,24046.16406250
0.02089998,0.57953481,24166.73828125
0.02200000,0.57953481,24277.86328125
0.02309999,0.57602596,24377.12109375
0.02419998,0.57982627,24501.75976562
0.02530000,0.57513355,24634.50781250
0.02639999,0.56859369,24763.78125000
0.02749998,0.57109500,24872.88281250
0.02860000,0.57314401,25000.65039062
0.02969999,0.56745869,25105.12695312
0.03080001,0.56138917,25187.06445312
0.03190000,0.56138917,25276.73632812
0.03299999,0.56194501,25366.59765625
0.03410001,0.56194501,25482.27343750
0.03520000,0.56399429,25602.97656250
0.03629998,0.56399429,25702.72851562
0.03740000,0.55705419,25789.49023438
0.03849999,0.55752347,25901.97265625
0.03959998,0.55161732,26017.05468750
0.04070000,0.55488874,26133.06250000
0.04179999,0.55488874,26258.68359375
0.04289998,0.55045775,26378.51953125
0.04400000,0.54846111,26489.48437500
0.04509999,0.54846111,26603.26757812
0.04619998,0.54267779,26697.78320312
0.04730000,0.53715979,26808.46875000
0.04839999,0.52686646,26923.63085938
0.04949998,0.52557138,27040.84960938
0.05060000,0.47302666,27176.85546875
0.05169999,0.47636170,27300.68359375
0.05279998,0.45246231,27428.09960938
0.05390000,0.45246231,27563.97070312
0.05499999,0.27197153,27695.52343750
