arc_length,Mach_Magnitude,p
0.00000000,0.15207952,41692.39843750
0.00110000,0.18377614,41691.78906250
0.00220000,0.18377614,41689.15234375
0.00330000,0.19205731,41696.51953125
0.00440000,0.19205731,41704.20312500
0.00550000,0.18862981,41707.57421875
0.00660000,0.18655945,41707.44921875
0.00770000,0.18256728,41709.55078125
0.00880000,0.18256728,41710.75781250
0.00990000,0.18329204,41711.73828125
0.01100000,0.18304672,41709.64843750
0.01209999,0.18304672,41707.17968750
0.01320000,0.18304672,41704.70703125
0.01429999,0.18182968,41701.62109375
0.01540001,0.17836008,41699.96875000
0.01649999,0.17785628,41698.57421875
0.01760001,0.17785628,41696.22656250
0.01869999,0.17785628,41693.87890625
0.01980001,0.17785628,41691.53515625
0.02089999,0.17785628,41689.18750000
0.02200000,0.17872269,41686.73046875
0.02309999,0.17872269,41684.26171875
0.02420000,0.17872269,41681.79296875
0.02529999,0.17872269,41679.32421875
0.02640000,0.17872269,41676.85156250
0.02749999,0.17927626,41674.63281250
0.02860000,0.17986329,41672.05078125
0.02969999,0.17986329,41669.62890625
0.03080000,0.17965422,41667.17578125
0.03189998,0.17965422,41664.63281250
0.03300000,0.17965422,41662.09375000
0.03409998,0.18010463,41659.29687500
0.03520000,0.18010463,41656.18750000
0.03629998,0.18095049,41652.28125000
0.03740000,0.18145174,41647.56250000
0.03849998,0.18145174,41644.48046875
0.03960000,0.18145174,41641.39843750
0.04069998,0.18217542,41641.52343750
0.04180000,0.18192780,41636.82031250
0.04289998,0.18192780,41630.94921875
0.04400000,0.18397010,41628.07812500
0.04509998,0.18397010,41627.92187500
0.04620000,0.18576765,41627.53906250
0.04729998,0.18576765,41624.47265625
0.04840000,0.18454373,41624.17187500
0.04949998,0.18117682,41630.60937500
0.05059999,0.18117682,41632.03125000
0.05169998,0.16190796,41633.56250000
0.05279999,0.16190796,41635.17968750
0.05389998,0.16190796,41636.80078125
0.05499999,nan,nan
