arc_length,Mach_Magnitude,p
0.00000000,0.11105344,41680.21484375
0.00110000,0.11105344,41682.50781250
0.00220000,0.16642674,41688.12500000
0.00330000,0.16642674,41695.59375000
0.00440001,0.17841720,41703.81250000
0.00549999,0.18211061,41709.97265625
0.00659999,0.18211061,41709.72656250
0.00770000,0.18383504,41709.54296875
0.00880000,0.18383504,41709.37500000
0.00990000,0.18377356,41705.44140625
0.01100000,0.18141306,41698.87500000
0.01210000,0.18009621,41694.69921875
0.01320001,0.18072289,41691.59765625
0.01430001,0.17988188,41689.43750000
0.01540001,0.17988188,41687.40234375
0.01650001,0.17988188,41685.36718750
0.01760001,0.17967743,41683.58984375
0.01870001,0.17967743,41682.14453125
0.01980002,0.17967743,41680.69921875
0.02090002,0.18011555,41678.32812500
0.02200002,0.17954540,41673.97656250
0.02309999,0.17954540,41669.59765625
0.02419999,0.18019322,41664.64843750
0.02530000,0.18019322,41658.93750000
0.02640000,0.18019322,41653.23046875
0.02750000,0.18019322,41647.52343750
0.02860000,0.18133703,41642.26562500
0.02970000,0.18133703,41638.76953125
0.03080000,0.18146040,41635.30078125
0.03190000,0.18146040,41631.89453125
0.03300001,0.18146040,41628.48437500
0.03410001,0.18146040,41625.07812500
0.03520001,0.18271620,41618.59375000
0.03630001,0.18231059,41610.03515625
0.03740001,0.18346136,41605.13671875
0.03850001,0.18346136,41600.66015625
0.03960002,0.18346136,41596.18359375
0.04070002,0.18369494,41592.02734375
0.04180002,0.18369494,41588.98046875
0.04290002,0.18369494,41585.93359375
0.04400000,0.18527900,41582.75781250
0.04510000,0.18738317,41580.51171875
0.04620000,0.18738317,41577.58203125
0.04730000,0.18738317,41574.65234375
0.04840000,0.18782664,41573.65234375
0.04950000,0.18782664,41572.78125000
0.05060000,0.18576389,41572.08593750
0.05170001,0.18576389,41571.48437500
0.05280001,0.18576389,41570.88671875
0.05390001,0.16283498,41565.03515625
0.05500001,nan,nan
