arc_length,Mach_Magnitude,p
0.00000000,0.32875170,22017.97265625
0.00110000,0.32875170,22247.16210938
0.00220000,0.32875170,22476.34765625
0.00330000,0.55238425,22723.32812500
0.00440000,0.51191597,22843.40820312
0.00550001,0.48306240,22890.56640625
0.00660000,0.48306240,22928.57812500
0.00770000,0.48702404,23018.81445312
0.00880000,0.48702404,23129.94531250
0.00990000,0.53007465,23237.56445312
0.01100000,0.51907919,23328.15234375
0.01210000,0.47736843,23459.11523438
0.01320001,0.47736843,23583.05859375
0.01430000,0.47736843,23707.00000000
0.01540000,0.47736843,23830.94140625
0.01650000,0.49453237,23959.01953125
0.01760001,0.49453237,24096.91601562
0.01870000,0.49453237,24234.81054688
0.01980000,0.49082595,24365.54296875
0.02090001,0.50909681,24467.70117188
0.02200000,0.50909681,24551.74023438
0.02310000,0.50909681,24635.78125000
0.02420001,0.49848162,24733.29101562
0.02530001,0.48144488,24822.42187500
0.02640000,0.48116092,24879.54492188
0.02750001,0.48116092,24939.09375000
0.02860001,0.45843809,25003.27734375
0.02970000,0.45843809,25070.21679688
0.03080000,0.49748687,25150.05273438
0.03189999,0.47799886,25237.64062500
0.03300001,0.47799886,25311.39453125
0.03410000,0.47799886,25385.14453125
0.03520002,0.50156715,25453.44335938
0.03630001,0.50424566,25509.42187500
0.03740000,0.50751701,25586.42578125
0.03850002,0.48068908,25656.18945312
0.03960001,0.50298655,25711.88867188
0.04070000,0.48820346,25761.89843750
0.04180001,0.48820346,25818.82812500
0.04290001,0.48820346,25875.75585938
0.04400000,0.50152010,25910.00585938
0.04510001,0.50152010,25951.67187500
0.04620001,0.50152010,25993.33789062
0.04730000,0.48852852,26025.57226562
0.04840001,0.48584567,26072.09960938
0.04950001,0.48584567,26106.76367188
0.05060002,0.48584567,26141.42773438
0.05170001,0.48511691,26223.52343750
0.05280000,0.48511691,26358.31835938
0.05390002,0.48511691,26493.11718750
0.05500001,nan,nan
