arc_length,Mach_Magnitude,p
0.00000000,0.28655837,22457.44921875
0.00110000,0.46739669,22505.02539062
0.00220000,0.46739669,22611.95117188
0.00330000,0.48262654,22725.19921875
0.00440000,0.48262654,22865.57617188
0.00550000,0.48262654,23005.95507812
0.00660000,0.47148991,23133.09375000
0.00769999,0.45881760,23213.72656250
0.00879999,0.45881760,23296.58007812
0.00990000,0.49416502,23379.32226562
0.01099999,0.49416502,23470.17578125
0.01209999,0.48751667,23582.70117188
0.01319999,0.48751667,23724.98437500
0.01430000,0.51797505,23844.21875000
0.01540001,0.51797505,23962.44726562
0.01650000,0.48619842,24076.19726562
0.01760000,0.46732173,24183.47265625
0.01870000,0.47328128,24263.06250000
0.01980000,0.47328128,24341.80664062
0.02090000,0.47328128,24420.55273438
0.02200000,0.43501075,24493.10156250
0.02310000,0.43501075,24579.87500000
0.02420000,0.43501075,24666.64648438
0.02530000,0.43501075,24753.41992188
0.02640000,0.42015908,24854.73242188
0.02749999,0.41956131,24929.38085938
0.02860001,0.41956131,25009.02734375
0.02970000,0.43989624,25091.98242188
0.03080001,0.43989624,25184.76953125
0.03189999,0.42766784,25267.50585938
0.03300001,0.42766784,25330.02148438
0.03409999,0.44154455,25396.06054688
0.03520001,0.44154455,25462.52343750
0.03629999,0.44154455,25528.98242188
0.03740000,0.44858157,25611.36328125
0.03849999,0.43396267,25668.28515625
0.03960000,0.43396267,25702.26953125
0.04069999,0.43396267,25736.25000000
0.04180000,0.44418785,25781.67578125
0.04289999,0.44922259,25834.42382812
0.04400000,0.43747736,25899.02148438
0.04509998,0.43747736,25973.45703125
0.04620000,0.43747736,26047.89257812
0.04729998,0.43017981,26122.45703125
0.04840000,0.44648644,26218.56835938
0.04949998,0.44648644,26317.63671875
0.05060000,0.46304387,26447.09570312
0.05169998,0.42409535,26591.35351562
0.05280000,0.28277989,26777.27539062
0.05389998,0.28277989,26943.50585938
0.05499999,nan,nan
