arc_length,Mach_Magnitude,p
0.00000000,0.11772522,41880.58203125
0.00110000,0.17968399,41890.62109375
0.00220001,0.17968399,41892.91406250
0.00330000,0.17968399,41895.20312500
0.00440000,0.19396253,41900.73046875
0.00550000,0.18547943,41907.47265625
0.00660001,0.18354266,41912.49218750
0.00770000,0.18093877,41918.75390625
0.00880001,0.18093877,41926.20703125
0.00989999,0.18093877,41933.66406250
0.01100000,0.17949680,41930.52734375
0.01209999,0.17949680,41925.65625000
0.01320000,0.17841386,41922.68750000
0.01430001,0.17841386,41920.70703125
0.01539999,0.17820091,41918.40234375
0.01650000,0.17800454,41916.09765625
0.01760001,0.17888760,41912.23437500
0.01869999,0.17888760,41904.91406250
0.01980000,0.17888760,41897.59765625
0.02089998,0.17929624,41893.76171875
0.02199999,0.17976128,41890.05078125
0.02310001,0.17976128,41882.12500000
0.02419999,0.17937390,41875.58203125
0.02530000,0.17937390,41870.50000000
0.02640001,0.17937390,41865.41796875
0.02749999,0.18008456,41860.04687500
0.02860000,0.18008456,41854.39453125
0.02970001,0.18013218,41850.99609375
0.03079999,0.18013218,41847.92968750
0.03190000,0.18069025,41842.57421875
0.03299998,0.18069025,41834.22656250
0.03410000,0.18099271,41829.16406250
0.03520001,0.18099271,41824.43750000
0.03629999,0.18265037,41819.39843750
0.03740000,0.18265037,41811.47656250
0.03850001,0.18265037,41803.55468750
0.03959999,0.18301917,41797.16015625
0.04070000,0.18301917,41791.28515625
0.04179998,0.18473388,41785.54687500
0.04289999,0.18473388,41780.38671875
0.04400000,0.18684983,41773.15625000
0.04509998,0.18896771,41769.85156250
0.04620000,0.18645967,41766.74218750
0.04730001,0.18264298,41766.79687500
0.04839999,0.18250946,41768.27734375
0.04950000,0.17382421,41763.14453125
0.05059998,0.17382421,41727.33593750
0.05169999,0.14029460,41695.01562500
0.05280000,0.14029460,41679.82421875
0.05389998,0.14029460,41664.63671875
0.05500000,nan,nan
