arc_length,Mach_Magnitude,p
0.00000000,0.10483661,41874.61328125
0.00110000,0.15194366,41883.03906250
0.00220001,0.16796181,41886.95312500
0.00330000,0.16796181,41884.50000000
0.00440000,0.16796181,41882.04687500
0.00550000,0.17747745,41879.73046875
0.00660000,0.17747745,41878.38281250
0.00769999,0.17747745,41877.03515625
0.00880000,0.17747745,41875.68750000
0.00990000,0.17866589,41873.59765625
0.01100000,0.18128050,41870.25000000
0.01209999,0.17932505,41868.39062500
0.01320000,0.17932505,41866.04296875
0.01430000,0.17932505,41863.69921875
0.01539999,0.17932505,41861.35546875
0.01650001,0.17932505,41859.01171875
0.01759999,0.17932505,41856.66406250
0.01869998,0.17997095,41854.35937500
0.01980000,0.17997095,41852.59765625
0.02089999,0.17997095,41850.83593750
0.02200001,0.18022625,41847.36718750
0.02310000,0.18022625,41842.76562500
0.02419998,0.18022625,41838.16406250
0.02530000,0.18022625,41833.56640625
0.02639999,0.18022625,41828.96484375
0.02750001,0.18068180,41825.26562500
0.02860000,0.18068180,41822.47656250
0.02969998,0.18068180,41819.69140625
0.03080001,0.18068180,41816.90625000
0.03189999,0.18068180,41814.12109375
0.03299998,0.18015744,41811.03906250
0.03410000,0.18214288,41807.34375000
0.03519999,0.18214288,41801.60546875
0.03630001,0.18214288,41795.86718750
0.03740000,0.18244357,41790.67968750
0.03849998,0.18244357,41786.73046875
0.03960000,0.18244357,41782.78125000
0.04069999,0.18303325,41779.36328125
0.04179998,0.18303325,41776.19140625
0.04290000,0.18599082,41771.76562500
0.04399998,0.18599082,41766.33203125
0.04510000,0.18599082,41760.89843750
0.04619999,0.18599082,41755.46484375
0.04729998,0.18546002,41752.69531250
0.04840000,0.18546002,41750.62500000
0.04949999,0.20757115,41750.55859375
0.05059998,0.20757115,41758.14453125
0.05169999,0.17994481,41759.70312500
0.05279998,0.11576074,41751.97265625
0.05390000,0.11576074,41742.57031250
0.05499999,nan,nan
