arc_length,Mach_Magnitude,p
0.00000000,0.19751519,42204.82031250
0.00110000,0.17381403,42180.13281250
0.00220001,0.17381403,42148.79687500
0.00329999,0.17381403,42117.46484375
0.00440000,0.17782893,42086.83593750
0.00550000,0.17984031,42089.94140625
0.00660000,0.17984031,42091.62109375
0.00770001,0.17984031,42093.30468750
0.00880001,0.17908276,42093.15234375
0.00990001,0.17908276,42086.63281250
0.01099998,0.17908276,42080.11718750
0.01209999,0.17909887,42075.34375000
0.01319999,0.17834387,42072.32031250
0.01429999,0.17834387,42070.32031250
0.01540000,0.17834387,42068.31640625
0.01650000,0.17899662,42064.96093750
0.01760000,0.17899662,42060.98437500
0.01870000,0.17899662,42057.00781250
0.01980001,0.17969158,42052.72656250
0.02089998,0.17969158,42048.27343750
0.02199998,0.17969158,42043.82031250
0.02309998,0.17969158,42039.36718750
0.02419999,0.18058749,42033.64843750
0.02529999,0.18058749,42026.94921875
0.02639999,0.18106752,42021.55468750
0.02750000,0.18106752,42016.52343750
0.02860000,0.18186461,42011.62500000
0.02970000,0.18186461,42006.91015625
0.03079998,0.18186461,42002.19531250
0.03189998,0.18186461,41997.48046875
0.03299998,0.18186461,41992.76562500
0.03409998,0.18306677,41987.10156250
0.03519999,0.18251007,41979.46093750
0.03629999,0.18340252,41971.84765625
0.03739999,0.18287295,41964.21875000
0.03850000,0.18622502,41955.03515625
0.03960000,0.18622502,41945.96484375
0.04069997,0.18622502,41936.89453125
0.04179997,0.18622502,41927.82421875
0.04289998,0.18746214,41919.02734375
0.04399998,0.18970769,41908.81640625
0.04509998,0.18941423,41899.53515625
0.04619998,0.18883327,41889.26953125
0.04729999,0.18883327,41877.62109375
0.04839999,0.18883327,41865.97656250
0.04950000,0.19054552,41857.87500000
0.05059997,0.19054552,41850.80078125
0.05169997,0.17310321,41852.27343750
0.05279997,0.17310321,41858.76171875
0.05389998,0.13815954,41857.85156250
0.05499998,nan,nan
