arc_length,Mach_Magnitude,p
0.00000000,0.11065539,42075.34765625
0.00110000,0.11065539,42077.84375000
0.00220000,0.16333602,42083.54296875
0.00330000,0.16333602,42091.02343750
0.00440001,0.17451743,42098.76171875
0.00549999,0.18051048,42104.21093750
0.00659999,0.18051048,42103.45703125
0.00770000,0.18401473,42103.67968750
0.00880000,0.18401473,42104.10156250
0.00990000,0.18430205,42100.68750000
0.01100000,0.18173936,42094.59375000
0.01210000,0.18027997,42090.82812500
0.01320001,0.18080467,42087.74609375
0.01430001,0.18010338,42085.40234375
0.01540001,0.18010338,42083.17578125
0.01650001,0.18010338,42080.94921875
0.01760001,0.17975395,42078.98828125
0.01870001,0.17975395,42077.36328125
0.01980002,0.17975395,42075.73828125
0.02090002,0.18039439,42073.20312500
0.02200002,0.17977859,42068.71875000
0.02309999,0.17977859,42064.21484375
0.02419999,0.18042688,42059.15234375
0.02530000,0.18042688,42053.34765625
0.02640000,0.18042688,42047.54687500
0.02750000,0.18042688,42041.74609375
0.02860000,0.18161576,42036.38281250
0.02970000,0.18161576,42032.76171875
0.03080000,0.18170442,42029.15234375
0.03190000,0.18170442,42025.57031250
0.03300001,0.18170442,42021.98828125
0.03410001,0.18170442,42018.41015625
0.03520001,0.18303005,42011.49218750
0.03630001,0.18267999,42002.46875000
0.03740001,0.18418265,41996.92187500
0.03850001,0.18418265,41991.77734375
0.03960002,0.18418265,41986.62890625
0.04070002,0.18445281,41981.93359375
0.04180002,0.18445281,41978.66015625
0.04290002,0.18445281,41975.38281250
0.04400000,0.18601339,41971.96875000
0.04510000,0.18660652,41968.79687500
0.04620000,0.18660652,41964.79687500
0.04730000,0.18660652,41960.80078125
0.04840000,0.18748884,41958.84375000
0.04950000,0.18748884,41957.02734375
0.05060000,0.18531689,41955.50781250
0.05170001,0.18531689,41954.14843750
0.05280001,0.18531689,41952.78515625
0.05390001,0.16442354,41946.93750000
0.05500001,nan,nan
