arc_length,Mach_Magnitude,p
0.00000000,0.13713783,41471.66796875
0.00110000,0.13713783,41474.17968750
0.00219999,0.13713783,41476.69531250
0.00330001,0.17608597,41480.41406250
0.00440000,0.17608597,41485.48046875
0.00550000,0.18124075,41481.43359375
0.00660000,0.18213349,41479.73437500
0.00770001,0.18202310,41486.88671875
0.00880000,0.18202310,41494.00000000
0.00990000,0.18202310,41501.10937500
0.01100000,0.18029617,41503.07031250
0.01209999,0.17815113,41499.01171875
0.01319999,0.17815113,41495.21875000
0.01430002,0.17815113,41491.42578125
0.01540001,0.17815113,41487.62890625
0.01650001,0.17791843,41485.27343750
0.01760001,0.17825751,41482.95703125
0.01870000,0.17825751,41478.29296875
0.01980000,0.17800853,41474.12890625
0.02090000,0.17805007,41470.25781250
0.02199999,0.17805007,41466.44531250
0.02310002,0.17828695,41461.44140625
0.02420002,0.17858136,41455.97265625
0.02530001,0.17858136,41452.13281250
0.02640001,0.17858136,41448.28906250
0.02750001,0.17965568,41443.42968750
0.02860000,0.17908863,41435.93750000
0.02970000,0.17934568,41428.61328125
0.03080000,0.18001593,41423.23046875
0.03190000,0.18001593,41418.16015625
0.03300002,0.18001593,41413.08984375
0.03410002,0.18074425,41405.23828125
0.03520001,0.18106862,41397.22265625
0.03630001,0.18165323,41391.73828125
0.03740001,0.18165323,41387.84765625
0.03850000,0.18303721,41383.58203125
0.03960000,0.18303721,41379.01953125
0.04070000,0.18259916,41374.63671875
0.04180003,0.18464807,41370.54296875
0.04290002,0.18464807,41365.56640625
0.04400002,0.18702488,41360.41796875
0.04510001,0.18776527,41354.93359375
0.04620001,0.18693448,41351.07031250
0.04730001,0.18693448,41349.05078125
0.04840000,0.18890997,41346.31250000
0.04950000,0.17666067,41338.94921875
0.05060003,0.17666067,41327.84375000
0.05170002,0.17867804,41316.83203125
0.05280002,0.17867804,41306.81250000
0.05390002,0.15246085,41300.66796875
0.05500001,nan,nan
