arc_length,Mach_Magnitude,p
0.00000000,0.36943701,23484.84960938
0.00110001,0.50767448,23559.90429688
0.00220000,0.54888631,23643.64453125
0.00330001,0.55300983,23764.74218750
0.00440000,0.55216224,23918.47460938
0.00550001,0.54694594,24049.29687500
0.00660000,0.54531441,24163.67187500
0.00770000,0.55054488,24314.38085938
0.00880000,0.54132613,24480.36132812
0.00990000,0.54712066,24596.36523438
0.01100000,0.55270808,24674.01953125
0.01210000,0.54443792,24800.74414062
0.01320000,0.54070375,24899.29296875
0.01430000,0.53851640,24978.39453125
0.01539999,0.52915046,25064.40625000
0.01650000,0.53048374,25181.87500000
0.01759999,0.52699124,25282.50976562
0.01870000,0.52699124,25381.58203125
0.01979999,0.52110005,25478.84570312
0.02090000,0.52101869,25545.70117188
0.02199999,0.51735672,25633.02734375
0.02310000,0.50804264,25719.06445312
0.02420000,0.51048877,25804.68750000
0.02529998,0.50643948,25922.43750000
0.02639999,0.51076501,26002.32812500
0.02750000,0.51076501,26084.01367188
0.02860000,0.50273277,26154.16406250
0.02970001,0.50273277,26192.78320312
0.03079999,0.49913822,26269.56835938
0.03189999,0.49913822,26379.40234375
0.03300000,0.49933401,26469.53906250
0.03410001,0.50479025,26541.35937500
0.03519998,0.50239706,26634.40820312
0.03629999,0.50099586,26719.17578125
0.03740000,0.49740496,26769.89453125
0.03850001,0.50174143,26793.32617188
0.03959998,0.49995311,26858.52343750
0.04069999,0.50314761,26926.27148438
0.04180000,0.50314761,27026.26562500
0.04290000,0.51079720,27100.71875000
0.04399998,0.51355348,27165.55664062
0.04509999,0.51466210,27227.23242188
0.04620000,0.51692175,27283.06054688
0.04730000,0.51331232,27308.87109375
0.04839998,0.50007497,27340.06250000
0.04949998,0.49299494,27373.87890625
0.05059999,0.43437579,27418.17968750
0.05170000,0.42503968,27452.84179688
0.05279998,0.37016290,27502.22851562
0.05389998,0.27688142,27509.95117188
0.05499999,nan,nan
