arc_length,Mach_Magnitude,p
0.00000000,0.26817300,22081.18164062
0.00110000,0.56657159,22330.51757812
0.00220001,0.56657159,22547.67773438
0.00329999,0.57673826,22742.30078125
0.00440000,0.57673826,22911.23437500
0.00550000,0.52231216,23058.55468750
0.00660000,0.54807406,23138.97265625
0.00769999,0.54807406,23187.25585938
0.00880000,0.55151364,23237.98046875
0.00990000,0.55151364,23313.97851562
0.01100000,0.54405111,23420.24804688
0.01210000,0.56259196,23543.17382812
0.01319999,0.56259196,23705.80859375
0.01430000,0.57146396,23864.89843750
0.01540000,0.57146396,24014.00585938
0.01650000,0.55451915,24172.93164062
0.01759999,0.51414854,24326.65234375
0.01869999,0.52984753,24435.45507812
0.01980000,0.52984753,24543.81835938
0.02090000,0.50324492,24635.51562500
0.02200000,0.48671680,24670.38085938
0.02309999,0.51189199,24699.76171875
0.02419999,0.50920176,24727.53320312
0.02529998,0.50426542,24809.15429688
0.02640000,0.50426542,24964.05664062
0.02749999,0.50426542,25118.95312500
0.02860001,0.53143991,25247.39648438
0.02969999,0.50742970,25344.77343750
0.03079998,0.50742970,25424.50976562
0.03190000,0.48737315,25507.39062500
0.03299999,0.51885152,25595.08593750
0.03410001,0.51228977,25687.07031250
0.03520000,0.51228977,25780.60546875
0.03629998,0.50357578,25856.26367188
0.03740000,0.50235665,25939.25195312
0.03849999,0.50235665,26062.34179688
0.03960001,0.48703587,26184.50195312
0.04070000,0.43753641,26297.84960938
0.04179998,0.48866571,26359.17773438
0.04290000,0.48866571,26412.33984375
0.04399999,0.46851030,26458.92773438
0.04509998,0.50102484,26536.24218750
0.04620000,0.52166202,26645.54882812
0.04729999,0.52166202,26755.60351562
0.04840000,0.50781062,26854.15820312
0.04949999,0.50781062,26925.55859375
0.05059998,0.50326309,26996.86914062
0.05170000,0.45874274,27074.81054688
0.05279998,0.41266444,27190.08789062
0.05390000,0.29649608,27295.56835938
0.05499999,nan,nan
