arc_length,Mach_Magnitude,p
0.00000000,0.39687486,21966.87500000
0.00110001,0.53964462,21964.65234375
0.00220000,0.58697568,22116.85156250
0.00330001,0.59200369,22236.22460938
0.00440000,0.59130441,22370.27148438
0.00550001,0.59072400,22458.73632812
0.00660000,0.59720398,22535.72851562
0.00770000,0.60383583,22652.62695312
0.00880000,0.58906976,22800.51953125
0.00990000,0.59310998,22886.74023438
0.01100000,0.60118578,22934.49218750
0.01210000,0.59579708,23058.02734375
0.01320000,0.59172501,23154.81835938
0.01430000,0.59361380,23234.21484375
0.01539999,0.58508259,23333.37500000
0.01650000,0.58615416,23471.70898438
0.01759999,0.58496725,23573.76367188
0.01870000,0.58496725,23629.13867188
0.01979999,0.57866640,23742.35742188
0.02090000,0.58044500,23871.55859375
0.02199999,0.57407969,23991.90039062
0.02310000,0.56258011,24130.38671875
0.02420000,0.56624805,24211.48046875
0.02529998,0.55856440,24340.71679688
0.02639999,0.56695717,24448.81640625
0.02750000,0.56695717,24546.58007812
0.02860000,0.55896967,24632.45507812
0.02970001,0.55896967,24678.41992188
0.03079999,0.55754470,24761.99804688
0.03189999,0.55754470,24893.81054688
0.03300000,0.55265417,24999.12695312
0.03410001,0.55935021,25085.52734375
0.03519998,0.55532442,25203.05859375
0.03629999,0.55532228,25311.30468750
0.03740000,0.55003772,25393.23632812
0.03850001,0.55629077,25446.55859375
0.03959998,0.54925815,25557.71289062
0.04069999,0.55071130,25677.95898438
0.04180000,0.55071130,25805.99218750
0.04290000,0.55623115,25911.37109375
0.04399998,0.55315806,26016.52929688
0.04509999,0.55751423,26116.26171875
0.04620000,0.55800366,26192.06835938
0.04730000,0.55514155,26249.74609375
0.04839998,0.53758450,26330.82226562
0.04949998,0.52729602,26422.90429688
0.05059999,0.46287719,26513.66210938
0.05170000,0.45607444,26558.96679688
0.05279998,0.39673537,26612.02343750
0.05389998,0.28071830,26620.47656250
0.05499999,nan,nan
