arc_length,Mach_Magnitude,p
0.00000000,0.29085125,22025.40625000
0.00110000,0.46698881,22158.34179688
0.00220000,0.46698881,22383.16210938
0.00330000,0.47590636,22593.51171875
0.00440000,0.47590636,22741.76171875
0.00550000,0.47590636,22890.01171875
0.00660000,0.46252027,23014.37890625
0.00769999,0.45145976,23083.10156250
0.00879999,0.45145976,23155.06250000
0.00990000,0.48816771,23229.86914062
0.01099999,0.48816771,23341.02734375
0.01209999,0.48586986,23469.11328125
0.01319999,0.48586986,23620.44726562
0.01430000,0.51600326,23750.70117188
0.01540001,0.51600326,23880.38671875
0.01650000,0.48962278,24007.62890625
0.01760000,0.46731744,24132.51953125
0.01870000,0.47796864,24224.66210938
0.01980000,0.47796864,24315.95312500
0.02090000,0.47796864,24407.24609375
0.02200000,0.42511038,24489.55078125
0.02310000,0.42511038,24579.37695312
0.02420000,0.42511038,24669.20117188
0.02530000,0.42511038,24759.02734375
0.02640000,0.41291634,24858.76757812
0.02749999,0.40997534,24927.51757812
0.02860001,0.40997534,25003.21093750
0.02970000,0.42046245,25077.65234375
0.03080001,0.42046245,25148.38281250
0.03189999,0.41496170,25212.84960938
0.03300001,0.41496170,25257.42187500
0.03409999,0.43618948,25308.98046875
0.03520001,0.43618948,25365.48242188
0.03629999,0.43618948,25421.98242188
0.03740000,0.44339818,25495.01757812
0.03849999,0.42170888,25549.88281250
0.03960000,0.42170888,25595.04296875
0.04069999,0.42170888,25640.20312500
0.04180000,0.42352335,25698.40429688
0.04289999,0.44243691,25754.84375000
0.04400000,0.44567832,25811.65039062
0.04509998,0.44567832,25870.53125000
0.04620000,0.44567832,25929.41210938
0.04729998,0.43581840,25985.51562500
0.04840000,0.44197754,26063.08984375
0.04949998,0.44197754,26147.57031250
0.05060000,0.45188303,26248.99218750
0.05169998,0.39685088,26415.62695312
0.05280000,0.27738730,26680.41992188
0.05389998,0.27738730,26887.32031250
0.05499999,nan,nan
