arc_length,Mach_Magnitude,p
0.00000000,0.34123938,22005.94921875
0.00110000,0.34123938,22021.71484375
0.00220001,0.48399648,22050.77539062
0.00330000,0.48399648,22035.82031250
0.00440000,0.47577590,22095.41015625
0.00550000,0.48631796,22143.39648438
0.00660001,0.48631796,22209.77148438
0.00770000,0.48969050,22355.66210938
0.00880000,0.49013011,22506.30664062
0.00990000,0.49013011,22683.20117188
0.01100001,0.48062137,22789.98828125
0.01210000,0.51622994,22859.86523438
0.01320001,0.52306632,22947.85937500
0.01430000,0.53737981,23039.94140625
0.01539999,0.49572402,23121.50976562
0.01650001,0.49572402,23201.22656250
0.01760000,0.49572402,23280.93945312
0.01869999,0.48021610,23359.75000000
0.01980001,0.48021610,23433.49609375
0.02090000,0.44580990,23504.59960938
0.02200001,0.44580990,23573.80468750
0.02310000,0.44217189,23644.03710938
0.02419999,0.45385508,23750.92773438
0.02530001,0.45385508,23862.15625000
0.02640000,0.45385508,23973.38281250
0.02750002,0.48608026,24107.29492188
0.02860001,0.47576300,24218.64062500
0.02970000,0.47576300,24325.19140625
0.03080001,0.46323000,24429.40429688
0.03190000,0.46323000,24512.93164062
0.03300000,0.46323000,24596.45703125
0.03410001,0.48467120,24676.35546875
0.03520000,0.48467120,24757.10546875
0.03630002,0.47020267,24812.47070312
0.03740001,0.47020267,24863.53906250
0.03850000,0.48290496,24926.25390625
0.03960001,0.50294797,25014.50000000
0.04070000,0.47754816,25076.94921875
0.04179999,0.47754816,25163.27343750
0.04290001,0.47754816,25249.59960938
0.04400000,0.51395014,25319.76367188
0.04510002,0.51395014,25372.52148438
0.04620001,0.51395014,25425.27929688
0.04730000,0.47096411,25491.87695312
0.04840001,0.47493343,25576.57812500
0.04950000,0.47493343,25693.60351562
0.05059999,0.47493343,25810.63085938
0.05170001,0.50289354,25911.60351562
0.05280000,0.50289354,25986.78710938
0.05390002,0.50289354,26061.97265625
0.05500001,nan,nan
