arc_length,Mach_Magnitude,p
0.00000000,0.11536060,41998.35546875
0.00109999,0.11536060,42002.93359375
0.00220000,0.11536060,42007.51171875
0.00329999,0.11536060,42012.08984375
0.00440000,0.12152007,42010.83984375
0.00549999,0.17648511,42007.96875000
0.00660000,0.17734247,42009.77343750
0.00769999,0.17734247,42014.21484375
0.00880000,0.17734247,42018.66015625
0.00990000,0.17734247,42023.10156250
0.01100000,0.17734247,42027.54296875
0.01210001,0.17676933,42028.75000000
0.01319999,0.17571569,42025.21875000
0.01430000,0.17571569,42019.94140625
0.01540000,0.17535524,42016.54687500
0.01649998,0.17535524,42015.89453125
0.01759999,0.17535524,42015.24609375
0.01870000,0.17565093,42014.42187500
0.01980001,0.17565093,42013.26171875
0.02089998,0.17615615,42011.53906250
0.02199999,0.17628680,42008.33593750
0.02310000,0.17662414,42004.12500000
0.02420001,0.17709683,42000.80078125
0.02529998,0.17709683,41997.68750000
0.02639999,0.17709683,41994.57031250
0.02750000,0.17716181,41991.64453125
0.02859998,0.17751211,41989.12500000
0.02969999,0.17751211,41986.63671875
0.03080000,0.17751211,41984.14843750
0.03190000,0.17751211,41981.66406250
0.03299998,0.17743057,41979.44140625
0.03409999,0.17905446,41977.40234375
0.03520000,0.17859909,41973.18359375
0.03630000,0.17859909,41968.52734375
0.03739998,0.17859909,41963.87500000
0.03849999,0.17909328,41959.36328125
0.03960000,0.17995571,41954.90234375
0.04070000,0.18008773,41950.13671875
0.04179998,0.18116064,41945.72265625
0.04289999,0.18197276,41941.92968750
0.04400000,0.18197276,41938.17187500
0.04509998,0.18592467,41934.17968750
0.04619998,0.18836681,41926.32812500
0.04729999,0.18981633,41918.43750000
0.04840000,0.18981633,41911.14062500
0.04949998,0.18948852,41903.70312500
0.05059998,0.14878439,41887.94921875
0.05169999,0.10796369,41867.79296875
0.05280000,0.10796369,41849.47656250
0.05389998,0.10796369,41831.16406250
0.05499999,nan,nan
