arc_length,Mach_Magnitude,p
0.00000000,0.11135578,41918.81640625
0.00110000,0.11135578,41921.35156250
0.00220000,0.16810874,41927.33203125
0.00330000,0.16810874,41935.23828125
0.00440001,0.18040728,41944.34765625
0.00549999,0.18314263,41951.50390625
0.00659999,0.18314263,41951.80078125
0.00770000,0.18412011,41951.87500000
0.00880000,0.18412011,41951.89843750
0.00990000,0.18406017,41948.27343750
0.01100000,0.18139071,41942.09375000
0.01210000,0.18033033,41938.39062500
0.01320001,0.18091721,41935.69531250
0.01430001,0.18005011,41933.82031250
0.01540001,0.18005011,41932.08984375
0.01650001,0.18005011,41930.35937500
0.01760001,0.17977824,41928.74218750
0.01870001,0.17977824,41927.26953125
0.01980002,0.17977824,41925.79687500
0.02090002,0.18026684,41923.44140625
0.02200002,0.17965117,41919.19921875
0.02309999,0.17965117,41914.93750000
0.02419999,0.18020796,41910.06250000
0.02530000,0.18020796,41904.40234375
0.02640000,0.18020796,41898.74609375
0.02750000,0.18020796,41893.08593750
0.02860000,0.18138790,41887.92578125
0.02970000,0.18138790,41884.50390625
0.03080000,0.18150803,41881.05859375
0.03190000,0.18150803,41877.53515625
0.03300001,0.18150803,41874.01562500
0.03410001,0.18150803,41870.49609375
0.03520001,0.18274180,41863.84375000
0.03630001,0.18234137,41855.27343750
0.03740001,0.18357312,41850.06640625
0.03850001,0.18357312,41845.25390625
0.03960002,0.18357312,41840.43750000
0.04070002,0.18380072,41836.05078125
0.04180002,0.18380072,41832.97656250
0.04290002,0.18380072,41829.89843750
0.04400000,0.18534029,41826.69140625
0.04510000,0.18701300,41824.41406250
0.04620000,0.18701300,41821.53906250
0.04730000,0.18701300,41818.66015625
0.04840000,0.18744411,41817.67578125
0.04950000,0.18744411,41816.81250000
0.05060000,0.18516079,41816.10937500
0.05170001,0.18516079,41815.48828125
0.05280001,0.18516079,41814.86328125
0.05390001,0.16232353,41809.22265625
0.05500001,nan,nan
