arc_length,Mach_Magnitude,p
0.00000000,0.37075608,20513.39257812
0.00110000,0.37075608,20619.27929688
0.00219999,0.37075608,20725.16601562
0.00330001,0.59086289,20850.06250000
0.00440000,0.56850763,20893.97265625
0.00550000,0.56850763,20912.55468750
0.00659999,0.56850763,20931.13476562
0.00770000,0.57091076,21006.13281250
0.00880000,0.57091076,21083.50585938
0.00990000,0.55759374,21202.05078125
0.01100000,0.54726427,21335.30859375
0.01210001,0.54726427,21469.40625000
0.01320000,0.57046166,21598.17578125
0.01430000,0.55704934,21734.10937500
0.01540000,0.53967582,21853.30273438
0.01650001,0.54562375,21972.64453125
0.01760000,0.54562375,22093.01171875
0.01870000,0.55347413,22195.04101562
0.01980000,0.54521809,22285.91992188
0.02090001,0.54521809,22373.13281250
0.02200001,0.55621863,22461.14257812
0.02310000,0.55473789,22550.14453125
0.02420000,0.55473789,22656.48242188
0.02530001,0.55473789,22762.82226562
0.02640001,0.54548083,22843.92187500
0.02750000,0.55797828,22922.86132812
0.02860000,0.55797828,23009.36914062
0.02970000,0.56193073,23085.41406250
0.03080001,0.56193073,23164.42968750
0.03189999,0.56193073,23243.44335938
0.03300001,0.55449015,23328.09375000
0.03410001,0.55861539,23417.45703125
0.03520001,0.55861539,23518.33398438
0.03630001,0.56473872,23615.08398438
0.03740000,0.55006571,23699.28906250
0.03850000,0.55006571,23789.78710938
0.03960000,0.55006571,23880.28320312
0.04069999,0.55445197,23960.75195312
0.04180002,0.55567441,24026.63867188
0.04290001,0.55567441,24108.23437500
0.04400001,0.55192681,24178.03125000
0.04510001,0.55192681,24215.01757812
0.04620000,0.55192681,24252.00195312
0.04730000,0.54817990,24293.88476562
0.04840000,0.54117037,24349.76562500
0.04949999,0.54117037,24408.70898438
0.05060002,0.54117037,24467.65234375
0.05170002,0.53564554,24601.50781250
0.05280001,0.53564554,24823.16796875
0.05390001,0.53878989,25069.79492188
0.05500001,nan,nan
