arc_length,Mach_Magnitude,p
0.00000000,0.36329954,21456.89062500
0.00110000,0.36329954,21303.51562500
0.00220000,0.36329954,21150.13867188
0.00330001,0.59068648,21114.14453125
0.00440001,0.59185944,21174.97851562
0.00549999,0.59185944,21229.02734375
0.00660000,0.58225056,21303.00781250
0.00770000,0.58225056,21389.22070312
0.00880000,0.60445929,21485.44726562
0.00990000,0.59387571,21612.97070312
0.01100000,0.59387571,21745.79296875
0.01210000,0.58075625,21858.79882812
0.01320000,0.58509729,21939.45507812
0.01429999,0.57983007,22021.89453125
0.01539999,0.57983007,22106.04296875
0.01650000,0.57268025,22223.23632812
0.01760000,0.58066167,22345.89453125
0.01870000,0.58066167,22419.63085938
0.01980000,0.57524234,22473.42773438
0.02090000,0.57051987,22561.58203125
0.02200000,0.57426685,22684.77929688
0.02310001,0.57154099,22810.06445312
0.02420001,0.57156373,22900.73046875
0.02530001,0.57156373,22968.97460938
0.02640001,0.57156373,23037.21679688
0.02750001,0.57843754,23125.46093750
0.02859999,0.57843754,23224.12109375
0.02969999,0.57843754,23322.77929688
0.03079999,0.56580808,23398.94335938
0.03189999,0.56580808,23443.36132812
0.03299999,0.56951754,23488.44726562
0.03409999,0.57251107,23547.16796875
0.03520000,0.56246918,23685.50781250
0.03630000,0.56246918,23827.27148438
0.03740000,0.56646567,23939.25390625
0.03850000,0.56420679,24015.34570312
0.03960000,0.56420679,24103.67382812
0.04070000,0.56420679,24192.00195312
0.04180000,0.55485171,24279.36132812
0.04290000,0.55863692,24367.64453125
0.04400001,0.55863692,24440.04101562
0.04510001,0.56019859,24516.63867188
0.04619998,0.53967230,24596.75195312
0.04729998,0.53967230,24677.51953125
0.04839998,0.53967230,24758.28906250
0.04949998,0.53113415,24870.92773438
0.05059999,0.53113415,24995.16015625
0.05169999,0.49768713,25107.30664062
0.05279999,0.29634065,25142.47070312
0.05389999,0.29634065,25266.13476562
0.05500000,nan,nan
