arc_length,Mach_Magnitude,p
0.00000000,0.19683015,41941.22265625
0.00110000,0.17342030,41918.46484375
0.00220001,0.17342030,41889.68359375
0.00329999,0.17342030,41860.89843750
0.00440000,0.17765145,41832.79687500
0.00550000,0.17936433,41836.69921875
0.00660000,0.17936433,41838.11328125
0.00770001,0.17936433,41839.52734375
0.00880001,0.17888867,41839.12890625
0.00990001,0.17888867,41833.16406250
0.01099998,0.17888867,41827.19921875
0.01209999,0.17903446,41822.62500000
0.01319999,0.17844998,41819.44921875
0.01429999,0.17844998,41817.14062500
0.01540000,0.17844998,41814.83203125
0.01650000,0.17901459,41811.46875000
0.01760000,0.17901459,41807.62500000
0.01870000,0.17901459,41803.78515625
0.01980001,0.17975621,41799.64843750
0.02089998,0.17975621,41795.35156250
0.02199998,0.17975621,41791.05468750
0.02309998,0.17975621,41786.75390625
0.02419999,0.18053816,41781.18750000
0.02529999,0.18053816,41774.64453125
0.02639999,0.18086687,41769.44921875
0.02750000,0.18086687,41764.62500000
0.02860000,0.18167219,41759.91796875
0.02970000,0.18167219,41755.37500000
0.03079998,0.18167219,41750.83203125
0.03189998,0.18167219,41746.28906250
0.03299998,0.18167219,41741.74218750
0.03409998,0.18285516,41736.25000000
0.03519999,0.18232165,41728.71484375
0.03629999,0.18315407,41721.13281250
0.03739999,0.18276470,41713.51171875
0.03850000,0.18646736,41704.50000000
0.03960000,0.18646736,41695.45312500
0.04069997,0.18646736,41686.41015625
0.04179997,0.18646736,41677.36718750
0.04289998,0.18755932,41668.60937500
0.04399998,0.19042049,41658.46484375
0.04509998,0.18921277,41649.21093750
0.04619998,0.18887909,41637.75000000
0.04729999,0.18887909,41627.41796875
0.04839999,0.18887909,41617.08203125
0.04950000,0.19106832,41609.98046875
0.05059997,0.19106832,41603.82031250
0.05169997,0.17269889,41605.70703125
0.05279997,0.17269889,41612.32031250
0.05389998,0.13572034,41611.27343750
0.05499998,nan,nan
