arc_length,Mach_Magnitude,p
0.00000000,0.40999880,20781.17382812
0.00110000,0.58399446,20723.56054688
0.00220001,0.58399446,20548.32617188
0.00330000,0.61499340,20476.33593750
0.00440000,0.61499340,20620.45312500
0.00550000,0.61509895,20774.55468750
0.00660000,0.61509895,20908.73046875
0.00770000,0.61377479,21043.05078125
0.00880001,0.62853303,21161.82226562
0.00990000,0.62853303,21288.66406250
0.01100000,0.61757427,21407.83984375
0.01210001,0.61433525,21480.90234375
0.01320000,0.61433525,21579.92382812
0.01430000,0.61104467,21677.71679688
0.01540001,0.61104467,21772.62109375
0.01650000,0.60849277,21903.54101562
0.01760000,0.60976190,22015.22460938
0.01870001,0.60931723,22095.11132812
0.01980002,0.60931723,22170.00976562
0.02090000,0.60829325,22257.07617188
0.02200001,0.59978636,22363.51171875
0.02310002,0.60044522,22465.34375000
0.02420000,0.59972733,22575.01562500
0.02530001,0.59848132,22687.67187500
0.02640002,0.59848132,22804.89062500
0.02750000,0.60701409,22915.84570312
0.02860001,0.60701409,23023.15820312
0.02970002,0.59784560,23136.08398438
0.03080000,0.59481952,23224.12304688
0.03190001,0.59481952,23318.99609375
0.03300002,0.59052568,23408.76171875
0.03410000,0.59170709,23536.36328125
0.03520001,0.59170709,23680.07421875
0.03630002,0.58926341,23814.45117188
0.03740000,0.59091966,23929.76562500
0.03850001,0.59091966,24061.17968750
0.03960002,0.58884899,24174.10742188
0.04070000,0.58882080,24283.24414062
0.04180001,0.58882080,24422.20312500
0.04290002,0.58047442,24564.36523438
0.04400000,0.57708616,24702.88085938
0.04510001,0.57708616,24817.86328125
0.04620002,0.57708616,24932.84765625
0.04730000,0.56174320,25063.47070312
0.04840001,0.55475653,25205.84375000
0.04950002,0.54918654,25352.78320312
0.05060000,0.54918654,25512.99804688
0.05170001,0.52118721,25692.08593750
0.05280003,0.49702841,25886.86523438
0.05390001,0.29648175,26047.29101562
0.05500001,nan,nan
