arc_length,Mach_Magnitude,p
0.00000000,0.37921354,20679.60156250
0.00110000,0.37921354,20525.03125000
0.00220000,0.37921354,20370.46093750
0.00330001,0.61344678,20343.39062500
0.00440001,0.60754319,20503.52539062
0.00549999,0.60754319,20670.04492188
0.00660000,0.60533950,20813.18945312
0.00770000,0.60533950,20941.98632812
0.00880000,0.62336085,21075.31445312
0.00990000,0.61731025,21213.97070312
0.01100000,0.61731025,21355.98437500
0.01210000,0.61245416,21487.62109375
0.01320000,0.61304597,21552.56054688
0.01429999,0.60539535,21666.41796875
0.01539999,0.60539535,21780.88281250
0.01650000,0.60329120,21922.22656250
0.01760000,0.60136164,22027.02929688
0.01870000,0.60136164,22111.37695312
0.01980000,0.60774113,22201.67968750
0.02090000,0.59790371,22289.94726562
0.02200000,0.59472988,22358.00781250
0.02310001,0.58209287,22452.49609375
0.02420001,0.58450830,22538.25195312
0.02530001,0.58450830,22673.22265625
0.02640001,0.58450830,22808.19140625
0.02750001,0.60734151,22923.74609375
0.02859999,0.60734151,23033.09179688
0.02969999,0.60734151,23142.43945312
0.03079999,0.59398253,23253.33789062
0.03189999,0.59398253,23338.78906250
0.03299999,0.58830995,23425.03710938
0.03409999,0.59011812,23523.87304688
0.03520000,0.59009456,23678.81054688
0.03630000,0.59009456,23830.45507812
0.03740000,0.59048650,23961.38085938
0.03850000,0.58663487,24079.84765625
0.03960000,0.58663487,24192.36718750
0.04070000,0.58663487,24304.88476562
0.04180000,0.58615890,24441.62109375
0.04290000,0.57787684,24550.43945312
0.04400001,0.57787684,24655.68359375
0.04510001,0.57053438,24770.58007812
0.04619998,0.55776752,24888.38867188
0.04729998,0.55776752,25029.16210938
0.04839998,0.55776752,25169.93554688
0.04949998,0.54818082,25323.89062500
0.05059999,0.54818082,25482.63867188
0.05169999,0.53779319,25649.38281250
0.05279999,0.30929997,25744.74414062
0.05389999,0.30929997,25886.40039062
0.05500000,nan,nan
