arc_length,Mach_Magnitude,p
0.00000000,0.15454695,41692.14843750
0.00110000,0.18402019,41693.05078125
0.00220000,0.18402019,41691.79687500
0.00330000,0.19293892,41700.39062500
0.00440000,0.19293892,41709.29296875
0.00550000,0.18904622,41713.05859375
0.00660000,0.18904622,41712.67578125
0.00770000,0.18257242,41715.00390625
0.00880000,0.18257242,41716.19140625
0.00990000,0.18338967,41717.16406250
0.01100000,0.18319570,41714.37500000
0.01209999,0.18319570,41711.07421875
0.01320000,0.18319570,41707.77343750
0.01429999,0.18190391,41704.19921875
0.01540001,0.17841460,41702.42968750
0.01649999,0.17797606,41700.83593750
0.01760001,0.17797606,41698.27734375
0.01869999,0.17797606,41695.72265625
0.01980001,0.17797606,41693.16406250
0.02089999,0.17797606,41690.60937500
0.02200000,0.17884076,41688.05078125
0.02309999,0.17884076,41685.51953125
0.02420000,0.17884076,41682.98437500
0.02529999,0.17884076,41680.45312500
0.02640000,0.17884076,41677.91796875
0.02749999,0.17944780,41675.57421875
0.02860000,0.18002595,41672.87109375
0.02969999,0.18002595,41670.33984375
0.03080000,0.17979471,41667.78906250
0.03189998,0.17979471,41665.19140625
0.03300000,0.17979471,41662.59375000
0.03409998,0.18031620,41659.75781250
0.03520000,0.18031620,41656.62890625
0.03629998,0.18119283,41652.70703125
0.03740000,0.18171357,41647.90625000
0.03849998,0.18171357,41644.67578125
0.03960000,0.18171357,41641.44531250
0.04069998,0.18282140,41641.34765625
0.04180000,0.18269030,41636.70312500
0.04289998,0.18269030,41630.96093750
0.04400000,0.18475096,41628.20312500
0.04509998,0.18475096,41628.16015625
0.04620000,0.18677048,41628.01953125
0.04729998,0.18677048,41626.69140625
0.04840000,0.18542630,41627.19921875
0.04949998,0.18110315,41632.19140625
0.05059999,0.18110315,41634.39843750
0.05169998,0.16112095,41636.25000000
0.05279999,0.16112095,41637.79296875
0.05389998,0.16112095,41639.33593750
0.05499999,nan,nan
