arc_length,Mach_Magnitude,p
0.00000000,0.16929809,41714.46875000
0.00110000,0.16929809,41707.66406250
0.00220000,0.17938813,41698.97656250
0.00329999,0.17923288,41687.92578125
0.00439999,0.17923288,41673.80468750
0.00550001,0.17965092,41665.48046875
0.00659999,0.17965092,41673.18359375
0.00769999,0.18105627,41674.33203125
0.00879998,0.18105861,41669.39453125
0.00990001,0.18105861,41664.17968750
0.01100001,0.18105861,41658.96484375
0.01210001,0.18105861,41653.74609375
0.01320001,0.18105861,41648.53125000
0.01430000,0.17908949,41644.98437500
0.01540000,0.17899264,41640.85546875
0.01650000,0.17899264,41636.10937500
0.01760000,0.17927842,41630.84375000
0.01870000,0.17912599,41625.03515625
0.01979999,0.17912599,41621.03515625
0.02089999,0.17912599,41617.03515625
0.02199999,0.17912599,41613.03515625
0.02309999,0.18001226,41609.23437500
0.02419998,0.18001226,41605.83203125
0.02529998,0.18001226,41602.42968750
0.02639998,0.18124783,41599.25000000
0.02749998,0.18170350,41595.57812500
0.02860001,0.18046312,41592.08203125
0.02970001,0.18034160,41588.66015625
0.03080000,0.18034160,41584.03906250
0.03190000,0.18034160,41579.41796875
0.03300000,0.18123652,41575.09765625
0.03410000,0.18123652,41570.88281250
0.03520000,0.18254005,41565.17187500
0.03629999,0.18254005,41559.41406250
0.03739999,0.18391699,41551.90625000
0.03849999,0.18391699,41541.92968750
0.03959999,0.18391699,41531.94921875
0.04069998,0.18548609,41522.93750000
0.04179998,0.18765036,41513.64843750
0.04289998,0.18535731,41504.51171875
0.04399998,0.18535731,41496.40234375
0.04509998,0.18535731,41488.29296875
0.04620001,0.18535731,41480.18359375
0.04730000,0.18535731,41472.07421875
0.04840000,0.18900676,41462.86328125
0.04950000,0.19080314,41464.92968750
0.05060000,0.19080314,41477.08593750
0.05170000,0.19281851,41527.80859375
0.05279999,0.19281851,41578.27734375
0.05389999,0.19281851,41628.75000000
0.05499999,nan,nan
