arc_length,Mach_Magnitude,p
0.00000000,0.32355657,22344.64257812
0.00110001,0.32355657,22449.40234375
0.00219999,0.55652515,22600.22851562
0.00330000,0.58103229,22791.91406250
0.00440000,0.57662534,22983.26367188
0.00549999,0.56868360,23138.92968750
0.00660000,0.57782998,23261.80664062
0.00770000,0.58618059,23400.87890625
0.00879999,0.58582177,23512.48046875
0.00990000,0.57640974,23649.76562500
0.01100000,0.57640974,23782.65625000
0.01209999,0.57298188,23897.79687500
0.01319999,0.56861087,24038.60351562
0.01430000,0.56660279,24175.33984375
0.01540000,0.56184068,24276.39843750
0.01649999,0.55911139,24390.75976562
0.01760000,0.55649229,24512.68359375
0.01870000,0.55832145,24635.66796875
0.01979999,0.55642919,24755.09375000
0.02089998,0.55123503,24852.40820312
0.02200000,0.55123503,24942.00781250
0.02309999,0.54780852,25031.79492188
0.02419998,0.55248852,25130.29296875
0.02530000,0.54941959,25249.51562500
0.02639999,0.54544887,25352.19335938
0.02749998,0.54787068,25449.83007812
0.02860000,0.54938709,25551.61523438
0.02969999,0.54154001,25639.85351562
0.03080001,0.53513855,25723.12890625
0.03190000,0.53513855,25801.01367188
0.03299999,0.53552653,25871.01757812
0.03410001,0.53552653,25947.21484375
0.03520000,0.53739507,26050.63867188
0.03629998,0.53739507,26173.11718750
0.03740000,0.53427912,26255.08984375
0.03849999,0.53240744,26349.47656250
0.03959998,0.52818741,26445.03320312
0.04070000,0.53193812,26528.76562500
0.04179999,0.53193812,26608.82031250
0.04289998,0.52878511,26694.39843750
0.04400000,0.52606236,26771.59765625
0.04509999,0.52606236,26849.38281250
0.04619998,0.52359834,26912.93750000
0.04730000,0.51549548,26985.86718750
0.04839999,0.50460833,27068.71093750
0.04949998,0.50384088,27154.90625000
0.05060000,0.45331851,27248.62500000
0.05169999,0.45607905,27332.04101562
0.05279998,0.42797617,27410.75000000
0.05390000,0.42797617,27474.90234375
0.05499999,0.25242002,27526.55273438
