arc_length,Mach_Magnitude,p
0.00000000,0.11582961,42142.59765625
0.00109999,0.11582961,42147.31640625
0.00220000,0.11582961,42152.03125000
0.00329999,0.11582961,42156.75000000
0.00440000,0.12114265,42155.33984375
0.00549999,0.17637984,42152.25000000
0.00660000,0.17729657,42153.69531250
0.00769999,0.17729657,42157.78906250
0.00880000,0.17729657,42161.88671875
0.00990000,0.17729657,42165.98437500
0.01100000,0.17729657,42170.08203125
0.01210001,0.17666445,42171.00781250
0.01319999,0.17569494,42167.27343750
0.01430000,0.17569494,42161.74609375
0.01540000,0.17537961,42158.10937500
0.01649998,0.17537961,42157.22265625
0.01759999,0.17537961,42156.33593750
0.01870000,0.17565125,42155.30859375
0.01980001,0.17565125,42154.00781250
0.02089998,0.17611714,42152.16796875
0.02199999,0.17627928,42148.80859375
0.02310000,0.17662050,42144.46093750
0.02420001,0.17709515,42141.01562500
0.02529998,0.17709515,42137.78125000
0.02639999,0.17709515,42134.54687500
0.02750000,0.17717320,42131.49218750
0.02859998,0.17752104,42128.83984375
0.02969999,0.17752104,42126.22656250
0.03080000,0.17752104,42123.61328125
0.03190000,0.17752104,42121.00000000
0.03299998,0.17747865,42118.65234375
0.03409999,0.17912982,42116.44140625
0.03520000,0.17870905,42112.17187500
0.03630000,0.17870905,42107.47656250
0.03739998,0.17870905,42102.78515625
0.03849999,0.17914181,42098.21875000
0.03960000,0.18005464,42093.69531250
0.04070000,0.18027957,42088.82031250
0.04179998,0.18137779,42084.30468750
0.04289999,0.18202932,42080.41406250
0.04400000,0.18202932,42076.56640625
0.04509998,0.18548686,42072.55468750
0.04619998,0.18826225,42064.71875000
0.04729999,0.18826225,42056.83593750
0.04840000,0.18968932,42049.55468750
0.04949998,0.18922768,42042.09765625
0.05059998,0.14804534,42025.40234375
0.05169999,0.10754833,42004.35937500
0.05280000,0.10754833,41985.22656250
0.05389998,0.10754833,41966.09375000
0.05499999,nan,nan
