arc_length,Mach_Magnitude,p
0.00000000,0.11451505,42086.68750000
0.00110000,0.19166011,42087.58984375
0.00220001,0.19166011,42095.50390625
0.00330000,0.19869186,42112.69921875
0.00440000,0.19869186,42131.12109375
0.00550001,0.18946778,42140.32031250
0.00660000,0.18946778,42140.24218750
0.00770000,0.17817932,42143.31250000
0.00880001,0.17817932,42147.63671875
0.00990000,0.17817932,42151.95703125
0.01100000,0.17787062,42151.24218750
0.01210001,0.17787062,42147.52734375
0.01320000,0.17782213,42151.34765625
0.01430000,0.17782213,42155.24609375
0.01540000,0.17762085,42156.16796875
0.01649999,0.17691177,42152.33593750
0.01760001,0.17691177,42147.72265625
0.01870001,0.17691177,42143.11328125
0.01980001,0.17675966,42140.28515625
0.02090000,0.17675966,42138.65234375
0.02200000,0.17688346,42135.55468750
0.02309999,0.17724419,42132.92968750
0.02420002,0.17724419,42131.28125000
0.02530001,0.17755462,42129.55859375
0.02640001,0.17755462,42126.25000000
0.02750000,0.17748344,42122.97265625
0.02860000,0.17748344,42119.88281250
0.02970000,0.17797391,42117.20312500
0.03079999,0.17803069,42113.69140625
0.03190001,0.17803069,42109.12500000
0.03300001,0.17859323,42105.78125000
0.03410001,0.17922014,42102.19531250
0.03520000,0.17907720,42098.39843750
0.03630000,0.17907720,42096.03515625
0.03739999,0.17914181,42092.47265625
0.03850002,0.17914181,42087.91796875
0.03960001,0.18005464,42083.18750000
0.04070001,0.18057709,42078.51953125
0.04180000,0.18057709,42076.34375000
0.04290000,0.18057709,42074.16796875
0.04400000,0.18480094,42070.92578125
0.04510002,0.18480094,42066.51953125
0.04620001,0.18647908,42063.26953125
0.04730001,0.18293228,42059.00390625
0.04840001,0.18293228,42055.02734375
0.04950000,0.17954370,42042.60156250
0.05060000,0.17954370,42025.88281250
0.05170002,0.17954370,42009.16406250
0.05280002,0.17954370,41992.44140625
0.05390001,0.12105271,41984.19531250
0.05500001,nan,nan
