arc_length,Mach_Magnitude,p
0.00000000,0.13559576,41886.11718750
0.00110000,0.13559576,41890.22656250
0.00219999,0.13559576,41894.33593750
0.00330001,0.17402770,41899.45312500
0.00440000,0.17402770,41905.69531250
0.00550000,0.18130680,41902.09375000
0.00660000,0.18329951,41900.06250000
0.00770001,0.18308588,41908.25781250
0.00880000,0.18308588,41916.49218750
0.00990000,0.18308588,41924.73046875
0.01100000,0.18085955,41927.42968750
0.01209999,0.17827394,41923.43359375
0.01319999,0.17827394,41919.54296875
0.01430002,0.17827394,41915.65625000
0.01540001,0.17827394,41911.76562500
0.01650001,0.17794751,41909.14843750
0.01760001,0.17831164,41906.64843750
0.01870000,0.17831164,41901.65625000
0.01980000,0.17801340,41897.20703125
0.02090000,0.17806360,41893.07031250
0.02199999,0.17806360,41888.96093750
0.02310002,0.17831332,41883.69531250
0.02420002,0.17858722,41878.00390625
0.02530001,0.17858722,41873.95312500
0.02640001,0.17858722,41869.90234375
0.02750001,0.17965412,41864.80078125
0.02860000,0.17907902,41856.96875000
0.02970000,0.17934068,41849.31250000
0.03080000,0.18001342,41843.65625000
0.03190000,0.18001342,41838.35156250
0.03300002,0.18001342,41833.04687500
0.03410002,0.18064752,41824.77734375
0.03520001,0.18100657,41816.30859375
0.03630001,0.18159061,41810.41015625
0.03740001,0.18159061,41806.13281250
0.03850000,0.18303793,41801.43359375
0.03960000,0.18303793,41796.38671875
0.04070000,0.18264049,41791.58593750
0.04180003,0.18482573,41787.14453125
0.04290002,0.18482573,41781.48437500
0.04400002,0.18752685,41775.55859375
0.04510001,0.18854810,41769.19140625
0.04620001,0.18757204,41765.55078125
0.04730001,0.18757204,41764.65234375
0.04840000,0.18931465,41762.64453125
0.04950000,0.17672253,41755.90625000
0.05060003,0.17672253,41746.51562500
0.05170002,0.17838019,41737.15625000
0.05280002,0.17838019,41728.06250000
0.05390002,0.15198774,41722.56640625
0.05500001,nan,nan
