arc_length,Mach_Magnitude,p
0.00000000,0.10417805,42633.34375000
0.00110000,0.15085229,42645.81640625
0.00220001,0.16671838,42650.70312500
0.00330000,0.16671838,42649.26953125
0.00440000,0.16671838,42647.83203125
0.00550000,0.17711753,42646.46093750
0.00660000,0.17711753,42645.53515625
0.00769999,0.17711753,42644.60937500
0.00880000,0.17711753,42643.68750000
0.00990000,0.17844171,42642.12890625
0.01100000,0.18142839,42639.52343750
0.01209999,0.17940404,42637.40625000
0.01320000,0.17940404,42634.75781250
0.01430000,0.17940404,42632.10937500
0.01539999,0.17940404,42629.45703125
0.01650001,0.17940404,42626.80859375
0.01759999,0.17940404,42624.16015625
0.01869998,0.18013138,42621.57812500
0.01980000,0.18013138,42619.94531250
0.02089999,0.18013138,42618.30859375
0.02200001,0.18041250,42614.88671875
0.02310000,0.18041250,42610.28125000
0.02419998,0.18041250,42605.67578125
0.02530000,0.18041250,42601.06640625
0.02639999,0.18041250,42596.46093750
0.02750001,0.18094512,42592.83203125
0.02860000,0.18094512,42590.16015625
0.02969998,0.18094512,42587.48828125
0.03080001,0.18094512,42584.81250000
0.03189999,0.18094512,42582.14062500
0.03299998,0.18036416,42579.17968750
0.03410000,0.18233846,42575.47656250
0.03519999,0.18233846,42569.67968750
0.03630001,0.18233846,42563.88671875
0.03740000,0.18265485,42558.63281250
0.03849998,0.18265485,42554.58984375
0.03960000,0.18265485,42550.54687500
0.04069999,0.18328303,42546.83984375
0.04179998,0.18328303,42542.96875000
0.04290000,0.18637493,42538.12109375
0.04399998,0.18637493,42532.14453125
0.04510000,0.18637493,42526.16796875
0.04619999,0.18637493,42520.19140625
0.04729998,0.18570563,42517.80468750
0.04840000,0.18570563,42516.36328125
0.04949999,0.20743831,42516.74218750
0.05059998,0.20743831,42529.89843750
0.05169999,0.17958098,42534.50000000
0.05279998,0.11577348,42525.80468750
0.05390000,0.11577348,42514.69921875
0.05499999,nan,nan
