arc_length,Mach_Magnitude,p
0.00000000,0.15605147,41740.75000000
0.00110000,0.11567144,41723.68750000
0.00220001,0.11567144,41702.75781250
0.00329999,0.17106262,41683.33984375
0.00440000,0.17755623,41688.82812500
0.00550000,0.17908690,41690.68359375
0.00660000,0.18541908,41693.28125000
0.00770001,0.18541908,41697.65234375
0.00880001,0.18349795,41702.55859375
0.00990001,0.18092914,41708.21875000
0.01100001,0.17941709,41707.51171875
0.01210002,0.17838456,41704.14843750
0.01319999,0.17838456,41700.56250000
0.01429999,0.17838456,41696.97656250
0.01540000,0.17838456,41693.39453125
0.01650000,0.17838456,41689.80859375
0.01760000,0.17934463,41686.41796875
0.01870001,0.17934463,41683.51953125
0.01980001,0.17934463,41680.62109375
0.02090001,0.17934463,41677.72265625
0.02200001,0.17929737,41674.71875000
0.02310002,0.17975395,41670.65234375
0.02420002,0.17975395,41662.53515625
0.02529999,0.18007086,41655.64453125
0.02640000,0.18129702,41649.69140625
0.02750000,0.18129702,41643.31250000
0.02860000,0.18129702,41636.93359375
0.02970000,0.18160896,41631.71875000
0.03080001,0.18160896,41627.20703125
0.03190001,0.18278552,41621.80468750
0.03300001,0.18228991,41614.65234375
0.03410001,0.18228991,41607.09375000
0.03520002,0.18228991,41599.53125000
0.03630002,0.18307311,41591.97656250
0.03740000,0.18307311,41584.43750000
0.03850000,0.18360233,41577.99609375
0.03960000,0.18359936,41572.26953125
0.04070000,0.18359936,41566.54296875
0.04180001,0.18359936,41560.81640625
0.04290001,0.19030921,41552.38281250
0.04400001,0.19030921,41543.58593750
0.04510001,0.18908670,41533.90625000
0.04620002,0.18819330,41527.19531250
0.04730002,0.18819330,41523.31640625
0.04840002,0.18819330,41519.44140625
0.04950000,0.18173774,41511.16406250
0.05060000,0.18381656,41487.14453125
0.05170000,0.18381656,41464.89843750
0.05280001,0.13655666,41443.44531250
0.05390001,0.17219312,41440.96093750
0.05500001,nan,nan
