arc_length,Mach_Magnitude,p
0.00000000,0.42748481,22137.16406250
0.00110000,0.58828645,22291.35351562
0.00220001,0.58828645,22490.17968750
0.00329999,0.59740739,22616.27148438
0.00440000,0.59223222,22740.80273438
0.00550000,0.59210420,22870.21484375
0.00660000,0.58721711,22953.98242188
0.00770000,0.58721711,23041.88476562
0.00880000,0.58342589,23108.03906250
0.00989999,0.57511332,23172.15820312
0.01100000,0.59256439,23261.48242188
0.01210000,0.59629155,23341.51367188
0.01320000,0.59828012,23445.23437500
0.01430000,0.59828012,23584.66015625
0.01539999,0.58488208,23751.80273438
0.01649999,0.58734098,23831.50195312
0.01760000,0.58800035,23962.05273438
0.01870000,0.58166894,24127.59375000
0.01980000,0.56936531,24212.36132812
0.02090000,0.56768681,24313.34765625
0.02199999,0.56665428,24414.79882812
0.02309999,0.56665428,24539.84375000
0.02420001,0.56564542,24633.83789062
0.02530000,0.56580055,24709.73632812
0.02639999,0.57769746,24805.38476562
0.02750001,0.57769746,24944.52539062
0.02859999,0.57737688,25074.71679688
0.02970001,0.56953359,25177.20898438
0.03080000,0.56953359,25241.66210938
0.03189999,0.56125380,25326.23632812
0.03300000,0.55878618,25427.41796875
0.03409999,0.55289669,25519.61523438
0.03520001,0.56178511,25612.93945312
0.03630000,0.56573918,25711.36718750
0.03739998,0.55052878,25838.45117188
0.03850000,0.55052878,25983.45703125
0.03959999,0.54731492,26128.68164062
0.04070001,0.55052126,26269.13085938
0.04180000,0.55052126,26415.26953125
0.04289998,0.55128656,26516.18750000
0.04400000,0.55782095,26549.78906250
0.04509999,0.55782095,26600.69726562
0.04620000,0.55674838,26700.54492188
0.04729999,0.55129867,26828.93554688
0.04840001,0.56102622,26963.97656250
0.04950000,0.55143400,27106.35156250
0.05059998,0.51080946,27261.19531250
0.05170000,0.51080946,27400.30273438
0.05279999,0.43415742,27448.27539062
0.05390001,0.37946514,27476.73242188
0.05500000,nan,nan
