arc_length,Mach_Magnitude,p
0.00000000,0.38681371,20694.28710938
0.00110000,0.38681371,20759.72460938
0.00220001,0.51711354,20847.68359375
0.00330000,0.51711354,20926.45898438
0.00440000,0.50928620,20979.67578125
0.00550000,0.51715254,21030.03320312
0.00660001,0.51715254,21122.28125000
0.00770000,0.51786872,21282.11718750
0.00880000,0.52467270,21443.39648438
0.00990000,0.52467270,21668.42773438
0.01100001,0.51359882,21786.58984375
0.01210000,0.53871279,21853.26367188
0.01320001,0.54175447,21976.35937500
0.01430000,0.55512089,22102.01562500
0.01539999,0.51618618,22172.87695312
0.01650001,0.51618618,22240.65820312
0.01760000,0.51618618,22308.43554688
0.01869999,0.50821333,22377.86914062
0.01980001,0.50821333,22432.13867188
0.02090000,0.47925418,22491.11132812
0.02200001,0.47925418,22553.46484375
0.02310000,0.48174259,22632.94726562
0.02419999,0.49294683,22752.01953125
0.02530001,0.49294683,22876.97460938
0.02640000,0.49294683,23001.92773438
0.02750002,0.52294415,23141.06250000
0.02860001,0.51066302,23267.44140625
0.02970000,0.51066302,23399.67187500
0.03080001,0.49985112,23528.91015625
0.03190000,0.49985112,23631.66210938
0.03300000,0.49985112,23734.41406250
0.03410001,0.50865898,23843.56640625
0.03520000,0.50865898,23970.93554688
0.03630002,0.49948712,24040.16015625
0.03740001,0.49948712,24099.54296875
0.03850000,0.50650952,24172.04492188
0.03960001,0.52573908,24275.78320312
0.04070000,0.50772476,24346.76953125
0.04179999,0.50772476,24450.43945312
0.04290001,0.50772476,24554.11132812
0.04400000,0.53467143,24632.05078125
0.04510002,0.53467143,24682.27929688
0.04620001,0.53467143,24732.50390625
0.04730000,0.49071715,24807.17382812
0.04840001,0.50437300,24889.21679688
0.04950000,0.50437300,25005.64062500
0.05059999,0.50437300,25122.06445312
0.05170001,0.52593978,25202.09960938
0.05280000,0.52593978,25223.68164062
0.05390002,0.52593978,25245.26757812
0.05500001,nan,nan
