arc_length,Mach_Magnitude,p
0.00000000,0.25638185,21852.83398438
0.00110000,0.55547767,22021.52343750
0.00220001,0.55547767,22156.64257812
0.00329999,0.58473350,22287.53906250
0.00440000,0.58473350,22413.62500000
0.00550000,0.53506155,22536.45312500
0.00660000,0.56930999,22601.18945312
0.00769999,0.56930999,22648.17773438
0.00880000,0.57533922,22697.85742188
0.00990000,0.57533922,22775.42968750
0.01100000,0.55636122,22841.10937500
0.01210000,0.59445463,22934.35742188
0.01319999,0.59445463,23060.92382812
0.01430000,0.59080268,23188.95507812
0.01540000,0.59080268,23321.10351562
0.01650000,0.58197947,23517.95898438
0.01759999,0.52292655,23714.13867188
0.01869999,0.54440589,23807.69531250
0.01980000,0.54440589,23901.90429688
0.02090000,0.50137319,23988.59179688
0.02200000,0.49948351,24028.22460938
0.02309999,0.54583456,24059.70312500
0.02419999,0.54666388,24087.42773438
0.02529998,0.51515862,24160.97656250
0.02640000,0.51515862,24282.00390625
0.02749999,0.51515862,24403.02539062
0.02860001,0.56591377,24542.09960938
0.02969999,0.51638182,24642.95898438
0.03079998,0.51638182,24743.37500000
0.03190000,0.49663458,24856.74218750
0.03299999,0.54680634,24959.45703125
0.03410001,0.53406032,25039.39648438
0.03520000,0.53406032,25136.09570312
0.03629998,0.49852738,25202.77734375
0.03740000,0.51100963,25282.90625000
0.03849999,0.51100963,25411.99023438
0.03960001,0.50245356,25542.23632812
0.04070000,0.44918948,25677.26367188
0.04179998,0.51199044,25747.98046875
0.04290000,0.47899972,25808.63476562
0.04399999,0.47899972,25865.47460938
0.04509998,0.51366013,25957.92187500
0.04620000,0.54728911,26070.86328125
0.04729999,0.54728911,26181.56250000
0.04840000,0.52928448,26281.31054688
0.04949999,0.52928448,26367.30859375
0.05059998,0.53362156,26453.94531250
0.05170000,0.48248098,26590.91796875
0.05279998,0.43123794,26769.30468750
0.05390000,0.31709345,26967.33398438
0.05499999,nan,nan
