arc_length,Mach_Magnitude,p
0.00000000,0.38411337,23038.23828125
0.00110001,0.53364722,23103.07226562
0.00220000,0.58413884,23228.59179688
0.00330001,0.58638507,23373.80468750
0.00440000,0.58870102,23565.49804688
0.00550001,0.58372796,23739.03125000
0.00660000,0.57554253,23890.29492188
0.00770000,0.57767779,24021.14062500
0.00880000,0.57872941,24144.39257812
0.00990000,0.57833082,24257.12304688
0.01100000,0.57324442,24355.50195312
0.01210000,0.57611851,24471.97656250
0.01320000,0.57532241,24540.84960938
0.01430000,0.57365936,24654.99218750
0.01539999,0.56730986,24774.88867188
0.01650000,0.56258405,24903.83203125
0.01759999,0.56010182,25025.54687500
0.01870000,0.56010182,25168.25585938
0.01979999,0.55755757,25270.65625000
0.02090000,0.55519285,25337.29296875
0.02199999,0.55356992,25423.54687500
0.02310000,0.54786975,25534.92773438
0.02420000,0.54629139,25646.44140625
0.02529998,0.54280933,25744.52734375
0.02639999,0.54913819,25835.96875000
0.02750000,0.54913819,25951.65234375
0.02860000,0.54193579,26067.38476562
0.02970001,0.54193579,26177.77929688
0.03079999,0.53521823,26275.05468750
0.03189999,0.53521823,26376.03710938
0.03300000,0.53382329,26468.16406250
0.03410001,0.52780999,26528.80078125
0.03519998,0.53024708,26644.31835938
0.03629999,0.53332654,26750.69921875
0.03740000,0.53011773,26854.39453125
0.03850001,0.52362296,26939.48046875
0.03959998,0.53096251,27056.59179688
0.04069999,0.53076892,27158.65820312
0.04180000,0.53076892,27285.63476562
0.04290000,0.53439738,27385.16210938
0.04399998,0.53743297,27471.15820312
0.04509999,0.53260293,27564.78320312
0.04620000,0.53500748,27653.08203125
0.04730000,0.53008621,27740.28515625
0.04839998,0.50486355,27812.07226562
0.04949998,0.50228029,27885.31250000
0.05059999,0.46330869,27970.12890625
0.05170000,0.45372725,28062.72460938
0.05279998,0.41049376,28135.46093750
0.05389998,0.33207296,28138.51562500
0.05499999,nan,nan
